               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064339,            0.018021,                   0,             0.96208,             0.93221,             0.97472,             0.54648,            0.034225,           0.0074333,                   0,            0.070073,           0.0033253,           0.0033253
                   1,            0.042207,            0.010553,                   0,             0.95019,             0.93837,             0.97277,             0.53373,            0.033637,           0.0056435,                   0,            0.039941,           0.0065268,           0.0065268
                   2,             0.03737,            0.008362,                   0,             0.97153,             0.97121,              0.9883,             0.56068,            0.031706,           0.0050484,                   0,            0.009677,           0.0095962,           0.0095962
                   3,            0.032536,           0.0072766,                   0,              0.9891,               0.988,             0.99392,             0.64401,            0.026614,           0.0047272,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.028743,           0.0067549,                   0,             0.98917,              0.9946,             0.99433,             0.68236,            0.023971,           0.0043644,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.026424,            0.006516,                   0,               0.994,              0.9892,             0.99438,             0.69569,            0.023196,           0.0042373,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.025583,           0.0063794,                   0,             0.98989,              0.9946,             0.99424,             0.68625,            0.023601,            0.004247,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.02483,           0.0062656,                   0,               0.992,              0.9952,             0.99451,             0.70313,            0.023116,           0.0041826,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.02439,           0.0061834,                   0,             0.99222,             0.99483,             0.99393,             0.70825,            0.022871,           0.0042023,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.023864,           0.0060523,                   0,             0.99549,              0.9922,              0.9948,             0.70895,             0.02237,           0.0040978,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.023537,           0.0060286,                   0,             0.99341,             0.99483,             0.99392,             0.70369,            0.022721,           0.0041471,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.023133,           0.0059514,                   0,             0.99489,              0.9928,              0.9938,             0.71481,            0.022219,           0.0041127,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.022772,            0.005936,                   0,             0.99204,              0.9964,             0.99416,             0.71767,            0.022156,           0.0040223,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.022667,           0.0059347,                   0,             0.99401,             0.99472,             0.99418,             0.71583,            0.022388,           0.0040489,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.022498,           0.0059173,                   0,              0.9946,             0.99446,             0.99479,             0.72588,             0.02171,           0.0040109,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.02238,           0.0058168,                   0,             0.99164,             0.99606,             0.99484,              0.7061,            0.022754,           0.0040894,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.021985,           0.0058421,                   0,             0.99204,               0.997,             0.99452,             0.72458,            0.021723,           0.0039985,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.022012,           0.0058415,                   0,             0.99223,             0.99585,             0.99414,             0.72472,            0.021709,           0.0039993,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.021808,           0.0057746,                   0,             0.99373,              0.9946,             0.99458,             0.72904,            0.021634,           0.0040314,                   0,            0.006634,            0.006634,            0.006634
