epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.92,1.24724,0.83701,1.16271,0.95081,0.93401,0.97887,0.62103,1.21619,0.82734,1.15432,0.000665052,0.000665052,0.000665052
2,447.818,1.23128,0.69208,1.17155,0.96425,0.93831,0.9721,0.65156,1.22415,0.64096,1.14087,0.00130535,0.00130535,0.00130535
3,668.77,1.1951,0.65941,1.16197,0.9752,0.96715,0.98962,0.68157,1.1832,0.55995,1.13041,0.00191925,0.00191925,0.00191925
4,888.982,1.18134,0.62015,1.15044,0.97946,0.97181,0.99115,0.6825,1.16621,0.54497,1.12275,0.0018812,0.0018812,0.0018812
5,1109.4,1.14837,0.58,1.1357,0.97879,0.9754,0.99179,0.69269,1.13053,0.53358,1.11504,0.0018416,0.0018416,0.0018416
6,1329.37,1.13119,0.56185,1.12911,0.98498,0.98317,0.99287,0.69546,1.13032,0.49907,1.09434,0.001802,0.001802,0.001802
7,1549.61,1.11944,0.54575,1.12162,0.98682,0.98837,0.99417,0.71855,1.09683,0.45364,1.07734,0.0017624,0.0017624,0.0017624
8,1769.54,1.11064,0.52673,1.11738,0.98792,0.9856,0.99353,0.68978,1.14233,0.4784,1.10084,0.0017228,0.0017228,0.0017228
9,1989.23,1.10392,0.52374,1.1151,0.99085,0.9868,0.99291,0.69991,1.10731,0.45999,1.07827,0.0016832,0.0016832,0.0016832
10,2208.84,1.10116,0.51577,1.1159,0.99403,0.988,0.99416,0.71613,1.07532,0.45531,1.07412,0.0016436,0.0016436,0.0016436
11,2428.17,1.08453,0.4915,1.10256,0.98801,0.98899,0.99462,0.69979,1.11109,0.44125,1.09403,0.001604,0.001604,0.001604
12,2647.4,1.07838,0.49142,1.09971,0.99374,0.9886,0.99395,0.7271,1.08276,0.43805,1.0676,0.0015644,0.0015644,0.0015644
13,2866.96,1.08022,0.49003,1.10334,0.98999,0.988,0.99294,0.7244,1.09054,0.43262,1.0697,0.0015248,0.0015248,0.0015248
14,3086.67,1.06664,0.48076,1.10142,0.98982,0.99144,0.9943,0.7318,1.07072,0.42418,1.06594,0.0014852,0.0014852,0.0014852
15,3306.23,1.07454,0.47186,1.10216,0.99517,0.9897,0.99443,0.73459,1.0728,0.4119,1.06735,0.0014456,0.0014456,0.0014456
16,3526.14,1.06494,0.46981,1.10032,0.9894,0.9916,0.99427,0.71633,1.08009,0.42685,1.07677,0.001406,0.001406,0.001406
17,3745.79,1.06173,0.46687,1.10041,0.99456,0.98637,0.99451,0.73156,1.06243,0.41415,1.05545,0.0013664,0.0013664,0.0013664
18,3965.53,1.05234,0.45387,1.09993,0.99215,0.98519,0.99438,0.72906,1.06362,0.40734,1.0631,0.0013268,0.0013268,0.0013268
19,4185.51,1.04269,0.44905,1.09254,0.99576,0.987,0.994,0.73092,1.0577,0.4012,1.06122,0.0012872,0.0012872,0.0012872
20,4405.2,1.05078,0.45072,1.09407,0.98903,0.9928,0.99371,0.73126,1.05232,0.40266,1.0578,0.0012476,0.0012476,0.0012476
21,4625.26,1.04602,0.44496,1.09441,0.99198,0.9874,0.9932,0.72696,1.05638,0.40047,1.06356,0.001208,0.001208,0.001208
22,4845,1.03272,0.43468,1.08792,0.99442,0.9922,0.99386,0.73661,1.06576,0.38624,1.06489,0.0011684,0.0011684,0.0011684
23,5065.5,1.02585,0.43187,1.08449,0.99422,0.9958,0.99413,0.73404,1.04929,0.38706,1.05318,0.0011288,0.0011288,0.0011288
24,5285.32,1.01712,0.42667,1.08157,0.99163,0.99456,0.99406,0.71758,1.0517,0.39419,1.05059,0.0010892,0.0010892,0.0010892
25,5505.17,1.02401,0.42853,1.08798,0.9934,0.99331,0.99458,0.7351,1.05442,0.38153,1.06274,0.0010496,0.0010496,0.0010496
26,5725.25,1.02734,0.42353,1.08806,0.9959,0.9928,0.99444,0.7418,1.0495,0.39284,1.06724,0.00101,0.00101,0.00101
27,5945.28,1.00307,0.41597,1.07512,0.99259,0.9946,0.99445,0.74565,1.04039,0.37059,1.05693,0.0009704,0.0009704,0.0009704
28,6165.17,1.00716,0.41497,1.07597,0.9958,0.99459,0.99465,0.74726,1.04828,0.38021,1.06212,0.0009308,0.0009308,0.0009308
29,6384.84,1.01244,0.41673,1.08373,0.99178,0.994,0.99385,0.74356,1.03875,0.37524,1.05525,0.0008912,0.0008912,0.0008912
30,6604.5,1.00369,0.41362,1.07616,0.99519,0.99302,0.99407,0.74108,1.03665,0.37211,1.05205,0.0008516,0.0008516,0.0008516
31,6824.19,1.00203,0.407,1.0763,0.99341,0.99455,0.99391,0.74311,1.03933,0.37096,1.05213,0.000812,0.000812,0.000812
32,7043.69,0.99979,0.40678,1.07498,0.99186,0.994,0.9941,0.74761,1.04157,0.36539,1.05024,0.0007724,0.0007724,0.0007724
33,7263.23,0.99195,0.39952,1.07599,0.99104,0.99525,0.99422,0.75029,1.03569,0.36053,1.05429,0.0007328,0.0007328,0.0007328
34,7482.65,0.99427,0.39737,1.07394,0.9958,0.99627,0.99435,0.72913,1.04168,0.35947,1.04876,0.0006932,0.0006932,0.0006932
35,7702.22,0.97773,0.39184,1.06707,0.994,0.99452,0.99389,0.74452,1.0357,0.3534,1.04523,0.0006536,0.0006536,0.0006536
36,7921.65,0.98073,0.38893,1.06233,0.9952,0.99577,0.99428,0.75268,1.03748,0.34892,1.04473,0.000614,0.000614,0.000614
37,8141.68,0.97537,0.38575,1.06264,0.99519,0.99212,0.9942,0.75137,1.03355,0.35402,1.04515,0.0005744,0.0005744,0.0005744
38,8361.59,0.97275,0.38455,1.06247,0.99312,0.997,0.99421,0.7513,1.03354,0.35199,1.04627,0.0005348,0.0005348,0.0005348
39,8581.31,0.97494,0.38152,1.06678,0.99461,0.99594,0.99427,0.75063,1.03135,0.34408,1.04702,0.0004952,0.0004952,0.0004952
40,8800.83,0.95598,0.37463,1.05711,0.99533,0.9958,0.9944,0.7485,1.03088,0.346,1.04486,0.0004556,0.0004556,0.0004556
41,9021.37,0.96704,0.35198,1.05836,0.99699,0.99422,0.99451,0.75395,1.0228,0.34728,1.04024,0.000416,0.000416,0.000416
42,9240.92,0.95432,0.34568,1.05341,0.99456,0.997,0.99446,0.75186,1.02792,0.34992,1.04932,0.0003764,0.0003764,0.0003764
43,9460.44,0.95253,0.34276,1.05747,0.9966,0.9946,0.99433,0.75061,1.03217,0.34349,1.04279,0.0003368,0.0003368,0.0003368
44,9679.92,0.94324,0.33874,1.052,0.99468,0.994,0.99422,0.7556,1.02507,0.34344,1.04362,0.0002972,0.0002972,0.0002972
45,9899.33,0.94144,0.33866,1.04703,0.99699,0.99442,0.99454,0.75305,1.02876,0.34935,1.03904,0.0002576,0.0002576,0.0002576
46,10118.7,0.93419,0.33315,1.04168,0.99758,0.9928,0.99423,0.75516,1.02179,0.33818,1.03811,0.000218,0.000218,0.000218
47,10337.9,0.9312,0.32748,1.03972,0.9946,0.99493,0.99419,0.75195,1.02829,0.33732,1.04383,0.0001784,0.0001784,0.0001784
